OSOURCE,STATE,ZIP,MAILCODE,NOEXCH,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
CAW,GA,31520,A,0,XXXX,38,,U,M,1,L,D,C,T,2
HHH,CA,92604,A,0,XXXX,14,,U,F,0,L,F,A,S,1
DNA,WI,53092,A,0,XXXX,23,,U,M,1,L,E,B,C,1
HAN,other,29609,A,0,XXXX,24,E,H,F,1,L,E,B,C,1
MBC,other,55721,A,0,XXXX,44,E,U,F,1,L,G,D,R,2
HCC,FL,33027,A,0,XXXX,29,,U,M,0,L,G,A,C,2
AMB,FL,33950,A,0,XXXX,23,E,H,F,3,L,E,C,C,1
WKB,WA,98349,A,0,XXXX,44,,U,F,0,L,D,A,R,2
NWN,other,84745,A,0,XXXX,45,I,U,F,0,L,F,D,R,2
HCC,CA,93010,A,0,XXXX,24,E,H,M,3,L,E,A,C,1
MCC,other,67056,A,0,XXXX,46,E,H,F,3,L,F,B,R,2
HHH,other,37770,A,0,XXXX,51,,U,F,0,L,F,D,R,3
RMG,MI,48316,A,0,XXXX,49,,U,M,0,L,G,A,R,2
LIS,other,80014,A,0,XXXX,40,E,H,M,2,L,E,B,R,2
AML,CA,94403,A,0,XXXX,2,E,H,F,2,L,E,A,U,1
FRC,CA,90631,A,0,XXXX,11,I,U,M,0,L,E,A,S,1
STV,CA,93940,A,0,XXXX,13,I,U,F,0,L,F,B,S,1
HOS,other,87524,A,0,XXXX,49,,U,F,0,L,F,D,R,2
AML,other,40845,A,0,XXXX,39,E,H,M,3,L,E,D,T,2
BHG,other,80226,A,0,XXXX,5,E,H,F,2,L,F,B,U,2
WKB,IL,61356,A,0,XXXX,36,E,U,M,3,L,E,D,T,2
L25,other,35601,A,0,XXXX,27,E,U,M,3,L,F,C,C,2
AVN,MI,48317,A,0,XXXX,17,E,H,M,3,L,E,A,S,2
SYN,FL,33567,A,0,XXXX,49,E,H,F,3,L,F,A,R,2
AGR,other,37343-,A,0,XXXX,40,,U,F,0,L,G,B,T,2
DRK,IL,62246-,A,0,XXXX,45,,U,F,3,L,E,D,R,2
AML,other,51106,A,0,XXXX,27,E,H,F,3,L,G,C,C,2
HCC,CA,90025,A,0,XXXX,1,E,U,F,3,L,F,A,U,1
BHG,IL,60191,A,0,XXXX,11,E,H,F,3,L,F,A,S,1
FRC,other,97503,A,0,XXXX,41,E,H,M,3,L,G,C,T,3
L01,FL,34287,A,0,XXXX,37,E,H,M,3,L,F,B,T,2
L02,MO,63126,A,0,XXXX,18,E,H,M,3,L,G,A,S,2
ARG,IN,46237,A,0,XXXX,18,,U,F,3,L,F,B,S,2
IMP,CA,90606,A,0,XXXX,8,,U,F,0,L,E,A,U,3
TYL,other,37663-,A,0,XXXX,39,,H,F,2,L,F,B,T,2
HCC,other,83535,A,0,XXXX,45,,U,F,0,L,F,D,R,2
CNT,IL,62449,A,0,XXXX,53,E,H,M,2,L,E,D,R,3
TVH,CA,94117,A,0,XXXX,1,,U,F,0,L,F,A,U,1
HAN,TX,75709,A,0,XXXX,44,E,H,M,3,L,E,C,R,2
NOR,FL,33054,A,0,XXXX,31,E,H,F,3,L,E,A,C,3
L01,other,97907,A,0,XXXX,45,I,U,M,0,L,F,D,R,2
TVF,CA,95249,A,0,XXXX,46,E,H,M,2,L,F,D,R,2
PV3,NC,27612,A,0,XXXX,22,,U,F,2,L,F,B,C,1
L16,WA,98607,B,0,XXXX,40,E,H,M,3,L,F,B,T,2
RPH,MI,48309-,A,0,XXXX,20,E,H,F,3,L,F,A,S,2
MBT,CA,92504,A,0,XXXX,26,I,U,F,0,L,E,A,C,2
HAN,other,73521,A,0,XXXX,36,E,H,F,3,L,D,D,T,2
BHG,CA,93030,A,0,XXXX,19,,H,M,3,L,F,A,S,2
LIS,CA,90403-,A,0,XXXX,35,,U,F,0,L,F,A,T,1
L03,FL,34103,A,0,XXXX,23,I,U,M,0,L,G,C,C,1
ARG,CA,95616,A,0,XXXX,22,,U,M,2,L,G,B,C,1
FRC,CA,95648,A,0,XXXX,42,I,U,M,0,L,F,B,R,1
HCC,other,97044,A,0,XXXX,44,,U,Other,0,L,D,D,R,2
BHG,WI,53711,B,0,XXXX,14,,U,F,0,L,F,B,S,1
MWD,TX,77520,A,0,XXXX,30,E,H,F,2,L,G,A,C,3
SYN,MI,48185,A,0,XXXX,17,E,U,F,2,L,E,A,S,2
IMP,FL,33093,A,0,XXXX,8,,U,F,0,L,E,A,U,3
NAP,CA,95824,A,0,XXXX,8,E,H,M,2,L,F,B,U,3
CFI,CA,92691,A,0,XXXX,3,,U,M,3,L,F,A,U,1
SYN,IL,60613,A,0,XXXX,1,E,H,F,1,L,E,A,U,1
GPS,IL,62277,A,0,XXXX,51,E,H,F,2,L,F,D,R,3
DNA,FL,33414-,A,0,XXXX,20,E,U,M,2,L,F,B,S,2
L02,other,42301,A,0,XXXX,43,E,H,M,3,L,G,C,R,2
MBC,IL,60193,A,0,XXXX,22,E,H,F,3,L,E,A,C,1
FRC,NC,28557,A,0,XXXX,39,E,H,M,3,L,F,C,T,2
SYN,TX,78745,A,0,XXXX,17,E,U,F,2,L,G,B,S,2
LIF,other,70605,A,0,XXXX,35,,U,F,0,L,G,C,T,1
SYN,CA,94954,A,0,XXXX,45,E,H,F,2,L,D,A,R,2
MBC,GA,30062,A,0,XXXX,24,E,H,M,3,L,E,A,C,1
OMH,CA,94610,A,0,XXXX,13,I,U,M,0,L,F,A,S,1
L21,WI,53204,A,0,XXXX,9,,U,M,0,L,F,B,U,3
HOW,other,74017-,A,0,XXXX,40,,U,M,0,L,G,B,R,2
AGR,other,7456,A,0,XXXX,1,,U,F,0,L,E,A,U,1
HER,MO,63028,A,0,XXXX,40,E,H,F,3,L,F,A,T,2
FRC,IL,60643,A,0,XXXX,8,E,H,M,3,L,F,A,U,3
L01,MI,48071,A,0,XXXX,10,E,H,F,3,L,G,A,U,4
SYN,CA,95356,A,0,XXXX,12,E,H,M,2,L,E,B,S,1
WIS,other,83617,A,0,XXXX,28,,H,M,3,L,E,D,C,2
DRK,IN,46319,A,0,XXXX,17,,U,M,0,L,G,A,S,2
MCC,other,38382,A,0,XXXX,45,,H,F,3,L,F,D,R,2
DEL,other,99712,A,0,XXXX,34,E,U,M,2,L,G,C,T,1
DBL,CA,91739,A,0,XXXX,12,E,H,M,3,L,F,A,S,1
AMB,NC,28501-,A,0,XXXX,36,,U,F,0,L,F,C,T,2
ASP,FL,33324,A,0,XXXX,15,,U,M,3,L,G,A,S,1
SCP,FL,33014-,A,0,XXXX,19,I,U,M,0,L,G,A,S,2
ASC,NC,28752,A,0,XXXX,43,E,U,M,2,L,G,D,R,2
HAM,CA,92284,A,0,XXXX,37,,U,F,0,L,E,A,T,2
TIM,IL,60120,A,0,XXXX,27,E,H,F,3,L,F,A,C,2
HOS,TX,79707,A,0,XXXX,17,,U,F,1,L,F,C,S,2
LHJ,other,38863,A,0,XXXX,51,E,H,F,3,L,E,D,R,3
DNA,CA,92545,A,0,XXXX,33,,H,M,1,L,E,A,C,3
BHG,TX,75223,A,0,XXXX,8,E,U,M,2,L,F,A,U,3
ARG,NC,27948,A,0,I1CM,40,E,U,M,2,L,F,D,T,2
BHG,other,38068,A,0,XXXX,50,,U,F,2,L,E,D,R,3
USB,CA,95207,A,0,XXXX,5,E,H,M,3,L,F,B,U,2
HOS,CA,92683,A,0,XXXX,6,E,H,F,3,L,F,A,U,2
CWR,CA,91321,A,0,C2CM,40,,U,M,0,L,G,A,R,2
ESN,other,87114,A,0,XXXX,26,,U,F,0,L,F,B,C,2
SYN,other,80021,A,0,XXXX,12,,U,M,0,L,F,B,S,1
RAY,other,73527,A,0,XXXX,43,,U,F,0,L,F,C,R,2
MCC,IN,46550,A,0,XXXX,38,,H,F,1,L,E,C,T,2
L01,MI,48223,A,0,XXXX,32,,U,M,0,L,G,A,C,3
MON,other,29607,A,0,XXXX,32,E,H,F,3,L,F,B,C,3
AGR,WA,98390,A,0,XXXX,35,E,H,M,3,L,G,A,T,1
LHJ,NC,28651,A,0,XXXX,41,,U,F,3,L,F,C,T,3
HHL,CA,94303,A,0,XXXX,13,E,H,F,2,L,G,A,S,1
BHG,other,35769,A,0,XXXX,35,E,U,F,1,L,G,D,T,1
USB,TX,78753,A,0,XXXX,42,,U,M,0,L,E,B,R,1
SYN,FL,34601,B,0,XXXX,45,E,H,M,3,L,F,A,R,2
LIF,other,66205,A,0,XXXX,2,I,U,F,0,L,G,B,U,1
AGR,other,39056,A,0,XXXX,35,I,H,F,3,L,E,B,T,1
INM,CA,93704,A,0,XXXX,7,E,H,F,3,L,E,B,U,2
ASK,TX,75007,A,0,XXXX,14,E,H,M,3,L,G,A,S,1
MBC,other,84047,A,0,XXXX,8,I,H,M,2,L,F,B,U,3
NAD,TX,76240-,A,0,XXXX,28,E,U,M,3,L,G,D,C,2
HOS,FL,32935,A,0,XXXX,31,,U,F,0,L,E,B,C,3
NOR,other,66051,A,0,XXXX,17,E,H,F,2,L,E,B,S,2
SYN,other,97370,A,0,XXXX,42,E,H,F,2,L,G,C,R,1
TVH,FL,32931-,A,0,XXXX,40,,U,M,2,L,E,B,R,2
AMB,IL,61488,A,0,XXXX,43,E,U,F,3,L,E,C,R,2
L15,other,59105,A,0,XXXX,24,E,H,M,3,L,F,C,C,1
SGI,MI,49203-,A,0,XXXX,24,E,H,M,3,L,F,C,C,1
COK,WA,98382,A,0,XXXX,28,,U,F,2,L,D,C,C,2
SYN,other,37209,A,0,XXXX,27,E,U,M,2,L,F,B,C,2
AML,other,80229,A,0,XXXX,21,E,U,M,3,L,F,B,S,3
DNA,TX,77434,A,0,XXXX,53,E,H,M,2,L,G,D,R,3
SYC,MI,48617,A,0,XXXX,51,,H,F,2,L,F,D,R,3
HHH,MI,48235,A,0,XXXX,8,E,H,M,2,L,F,A,U,3
HOS,FL,34431,A,0,XXXX,48,,U,F,0,L,D,C,R,2
HUT,other,97219,A,0,XXXX,12,E,H,M,2,L,F,B,S,1
AGR,FL,33019-,A,0,XXXX,26,E,U,M,1,L,F,A,C,2
RPC,IN,47591,A,0,XXXX,41,E,H,F,3,L,E,D,T,3
MIC,CA,92262,A,0,XXXX,27,E,H,M,3,L,E,A,C,2
STV,TX,75684,A,0,XXXX,45,I,U,F,0,L,F,D,R,2
IMP,other,55422,A,0,XXXX,26,E,H,F,2,L,F,A,C,2
HCC,other,85311,A,0,XXXX,10,,U,M,0,L,F,A,U,4
HAN,IN,46563,A,0,XXXX,36,E,U,F,2,L,F,D,T,2
MB1,MI,48462,A,0,XXXX,40,E,H,F,3,L,G,A,T,2
HCC,other,57006,A,0,XXXX,25,I,U,M,0,L,F,D,C,2
L04,CA,90019,A,0,XXXX,3,E,H,M,3,L,G,A,U,1
HOS,GA,30314,A,0,XXXX,9,,U,F,0,L,F,A,U,3
QUI,IL,60458-,A,0,XXXX,18,E,H,F,3,L,F,A,S,2
HJR,CA,95240,A,0,XXXX,31,E,H,F,3,L,E,B,C,3
MBC,other,29154,A,0,XXXX,49,E,H,F,3,L,F,C,R,2
LHJ,CA,95453,A,0,XXXX,37,E,H,F,2,L,F,C,T,2
DCD,MI,48328,A,0,XXXX,20,E,H,F,3,L,G,A,S,2
DAY,MI,48048,A,0,XXXX,41,E,H,F,2,L,E,A,T,3
HCC,CA,95403,A,0,XXXX,13,E,H,F,3,L,G,A,S,1
MBC,MI,48756,A,0,XXXX,53,E,H,M,3,L,F,D,R,3
LIS,FL,32778,A,0,XXXX,42,E,H,Other,3,L,E,C,R,1
COH,other,70119,A,0,XXXX,9,E,H,F,3,L,D,B,U,3
ASS,GA,31558,A,0,XXXX,40,E,H,M,3,L,E,D,T,2
HHH,FL,32922-,A,0,XXXX,30,,U,F,0,L,F,B,C,3
BHG,FL,32127,A,0,XXXX,33,E,H,F,1,L,D,B,C,3
L25,WI,53714,A,0,XXXX,16,E,H,M,3,L,G,B,S,2
CFI,IN,47166,A,0,XXXX,43,E,H,M,3,L,F,B,R,2
NCD,NC,27713,A,0,XXXX,34,E,H,F,3,L,G,B,T,1
IMP,other,56387,A,0,XXXX,27,E,H,F,3,L,F,C,C,2
PV3,other,50677,A,0,XXXX,39,E,H,F,3,L,F,C,T,2
LIS,IL,61858,A,0,XXXX,49,E,H,F,3,L,F,C,R,2
DNA,FL,33066,A,0,XXXX,29,,U,M,1,L,D,A,C,2
DNA,CA,95404,A,0,XXXX,24,,H,M,2,L,F,A,C,1
ESN,CA,90740,A,0,XXXX,33,E,U,F,2,L,F,A,C,3
SGI,TX,77879,A,0,XXXX,12,,U,M,0,L,F,D,S,1
AMB,other,83404,A,0,XXXX,24,E,H,M,1,L,G,C,C,1
SSS,FL,34209,A,0,XXXX,29,E,H,F,3,L,F,B,C,2
STR,other,56069,A,0,XXXX,45,,H,Other,1,L,E,D,R,2
FRC,other,71350,A,0,XXXX,51,,H,M,2,L,F,D,R,3
FRC,CA,91042,A,0,XXXX,12,,U,F,0,L,F,A,S,1
MM2,other,99508,A,0,XXXX,18,E,H,F,2,L,E,C,S,2
L16,FL,34219,A,0,XXXX,42,E,H,F,3,L,G,B,R,1
AML,WA,98037,A,0,XXXX,20,I,U,F,0,L,F,A,S,2
FCR,FL,34677-,A,0,XXXX,40,,U,F,0,L,G,A,R,2
STR,other,67501,A,0,XXXX,31,E,H,F,3,L,G,C,C,3
JFY,FL,33619,A,0,XXXX,30,E,H,F,3,L,D,A,C,3
ACT,IN,46350,A,0,XXXX,45,E,H,M,3,L,E,C,R,2
ESN,other,40055,A,0,XXXX,42,E,U,M,3,L,F,B,R,1
HOS,TX,79608,A,0,XXXX,31,E,U,M,2,L,F,C,C,3
SYN,WI,53403,A,0,XXXX,21,,U,M,0,L,G,B,S,3
BBK,IL,61547,A,0,XXXX,42,,U,F,0,L,F,B,R,1
AHS,TX,75154,A,0,XXXX,35,I,H,F,3,L,F,A,T,1
ARG,GA,30286,A,0,XXXX,37,,U,F,0,L,F,D,T,2
DRK,IN,46322,A,0,XXXX,16,,U,F,0,L,E,A,S,2
NOR,WA,98538,A,0,XXXX,51,E,U,M,1,L,E,C,R,3
L15,WA,98055,B,0,XXXX,17,E,H,M,2,L,G,A,S,2
DDA,MI,48160,A,0,XXXX,40,E,H,F,3,L,D,A,T,2
BHG,other,85381,A,0,XXXX,29,E,H,F,3,L,D,A,C,2
MCC,CA,90638,A,0,XXXX,40,E,H,F,3,L,F,A,R,2
HOS,TX,75766,A,0,XXXX,36,,U,F,0,L,F,D,T,2
PCL,WI,53215,A,0,XXXX,28,E,H,F,2,L,E,B,C,2
L04,CA,92708,A,0,XXXX,2,,U,F,0,L,G,A,U,1
SYN,CA,95409,A,0,XXXX,17,,U,M,0,L,F,A,S,2
AML,CA,95401,A,0,XXXX,12,I,H,F,2,L,F,A,S,1
DUR,other,97305,A,0,XXXX,40,,U,M,2,L,E,B,R,2
DUR,FL,32311,A,0,XXXX,42,,U,F,1,L,E,B,R,1
HCC,other,97034,A,0,XXXX,11,E,H,F,2,L,E,B,S,1
LIS,FL,34266,A,0,XXXX,36,I,U,F,0,L,E,D,T,2
DON,NC,28438-,A,0,XXXX,50,I,U,F,2,L,E,D,R,3
SPN,other,71118,A,0,XXXX,18,E,H,M,3,L,E,B,S,2
WKB,MO,63935,A,0,XXXX,53,,U,F,2,L,G,D,R,3
ASP,other,59230,A,0,XXXX,45,,U,F,3,L,G,D,R,2
JUD,NC,27576,A,0,XXXX,49,E,U,F,3,L,F,C,R,2
GRI,MI,49450,A,0,XXXX,51,E,H,M,3,L,F,C,R,3
WKB,MO,64772,A,0,XXXX,41,E,U,F,3,L,D,D,T,3
SSS,CA,92019,A,0,XXXX,18,,U,F,0,L,F,A,S,2
RSC,other,39342,A,0,XXXX,47,,U,F,0,L,F,C,R,2
MBB,other,55407,A,0,XXXX,7,E,H,F,3,L,F,A,U,2
ANT,other,89014,A,0,XXXX,41,I,U,F,0,L,D,B,T,3
DHR,CA,94404,A,0,XXXX,2,E,H,F,3,L,G,A,U,1
LHJ,other,85340,A,0,XXXX,44,,U,F,2,L,E,A,R,2
ASC,CA,94903,A,0,XXXX,12,E,H,M,3,L,G,A,S,1
HAC,FL,33736,A,0,XXXX,4,,U,F,0,L,F,A,U,2
L21,other,29902,A,0,XXXX,35,E,H,F,3,L,F,C,T,1
HJR,CA,95125,A,0,XXXX,1,E,H,M,3,L,G,A,U,1
BHG,other,38111,A,0,XXXX,39,E,H,M,1,L,D,B,T,2
GPS,other,74464,A,0,XXXX,43,,U,F,1,L,F,D,R,2
L01,CA,92104,A,0,XXXX,4,E,H,F,2,L,F,A,U,2
MAD,MI,49315,A,0,XXXX,40,E,U,F,1,L,D,B,T,2
OMH,CA,94133,A,0,XXXX,1,,H,F,1,L,F,A,U,1
PV3,IN,46038,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
L01,MI,49684,A,0,XXXX,39,E,H,M,3,L,F,C,T,2
GDA,other,37879,A,0,XXXX,51,E,U,M,2,L,G,D,R,3
BRE,other,97213,A,0,XXXX,10,I,U,M,1,L,G,B,U,4
AVN,MI,49315,A,0,XXXX,40,E,U,F,3,L,G,B,T,2
ENQ,other,97231,A,0,XXXX,34,,U,M,0,L,F,B,T,1
ARG,MI,48021,A,0,XXXX,8,E,H,M,2,L,E,A,U,3
IMP,TX,78256-,A,0,XXXX,13,I,H,Other,3,L,F,B,S,1
FRC,IL,60103,A,0,XXXX,12,,H,Other,3,L,F,A,S,1
USS,MI,48060,A,0,XXXX,30,E,H,M,3,L,E,A,C,3
AMB,CA,92021,A,0,XXXX,18,I,H,F,3,L,F,A,S,2
SYN,TX,76310,A,0,XXXX,40,E,U,F,1,L,F,C,T,2
ISC,other,35215,A,0,XXXX,17,E,H,F,3,L,G,B,S,2
PBL,MO,64506,A,0,XXXX,26,,U,F,3,L,F,C,C,2
BOA,IL,60640,A,0,XXXX,1,,U,M,0,L,F,A,U,1
BHG,MI,48603,A,0,XXXX,27,E,H,F,3,L,F,B,C,2
WKB,other,56584,A,0,XXXX,53,,U,M,2,L,F,D,R,3
BHG,other,35601,A,0,XXXX,30,E,H,F,3,L,D,C,C,3
GRI,IN,46952,A,0,XXXX,40,,U,M,0,L,E,C,R,2
SYN,other,38119,A,0,XXXX,32,,U,M,0,L,G,B,C,3
BOA,CA,91351,A,0,XXXX,27,E,H,M,3,L,F,A,C,2
BHG,IL,60543,A,0,XXXX,35,E,H,F,3,L,F,A,T,1
AGR,FL,32806,A,0,XXXX,31,E,H,F,3,L,G,B,C,3
MCC,other,80207,A,0,XXXX,13,E,H,F,3,L,E,B,S,1
L02,WA,98513-,A,0,XXXX,24,,U,F,0,L,G,C,C,1
AGR,IL,60477,A,0,XXXX,20,E,H,M,3,L,F,A,S,2
OMH,WA,98611,A,0,XXXX,46,,H,M,2,L,E,C,R,2
LPN,NC,28214,A,0,XXXX,18,,H,F,3,L,F,B,S,2
ACS,FL,32668-,A,0,XXXX,45,E,U,F,2,L,F,D,R,2
ANT,FL,33167,A,0,XXXX,8,E,H,Other,3,L,F,A,U,3
AGR,GA,30044,A,0,XXXX,11,,H,M,3,L,F,A,S,1
ESN,other,71913,A,0,XXXX,37,I,U,M,0,L,E,C,T,2
FIN,FL,32046,A,0,XXXX,43,E,U,M,3,L,F,B,R,2
MCC,other,37917,A,0,XXXX,30,E,U,F,2,L,F,B,C,3
HOS,MI,48180,A,0,XXXX,21,E,U,F,2,L,D,A,S,3
NEW,TX,78042,A,0,XXXX,49,,U,M,0,L,F,C,R,2
MBC,CA,93711,A,0,XXXX,13,E,H,F,3,L,G,B,S,1
USB,other,35180,A,0,XXXX,49,,U,F,1,L,E,B,R,2
FRC,other,97217,A,0,XXXX,21,,U,M,0,L,G,B,S,3
ARG,CA,94546,A,0,XXXX,13,E,H,M,3,L,F,A,S,1
AML,IL,60477,A,0,XXXX,20,E,H,M,3,L,E,A,S,2
FRC,TX,76692,A,0,XXXX,41,,U,M,0,L,E,D,T,3
USB,CA,94110,A,0,XXXX,7,,U,F,0,L,F,A,U,2
COK,TX,75214,A,0,XXXX,22,,U,F,0,L,D,A,C,1
MCO,FL,34689,A,0,XXXX,16,E,H,F,3,L,G,A,S,2
HOS,other,42437,A,0,XXXX,49,E,H,F,2,L,F,D,R,2
HOS,other,37334,A,0,XXXX,45,E,U,F,2,L,G,D,R,2
L16,CA,92335,A,0,XXXX,19,E,H,M,2,L,G,A,S,2
HCC,WI,54208,A,0,XXXX,49,E,H,M,3,L,G,C,R,2
COS,other,83835,A,0,XXXX,40,E,H,F,3,L,F,C,T,2
AML,NC,28791-,A,0,XXXX,23,,U,F,0,L,G,C,C,1
ESN,other,51031,A,0,XXXX,36,,U,M,2,L,F,D,T,2
MBL,other,68714,A,0,XXXX,53,E,U,M,3,L,F,D,R,3
MBC,other,81526,A,0,XXXX,46,E,H,F,2,L,E,C,R,2
MBC,NC,27018,A,0,XXXX,49,E,H,M,2,L,G,B,R,2
TRO,MO,63114,A,0,XXXX,43,,U,M,0,L,F,A,R,2
ASP,FL,33569,A,0,XXXX,40,E,H,M,2,L,F,A,T,2
PV3,WI,53960,A,0,XXXX,49,,U,M,0,L,F,D,R,2
L02,other,83254,A,0,XXXX,49,E,H,F,2,L,G,D,R,2
MCO,other,35150,A,0,XXXX,40,E,H,F,3,L,F,C,T,2
L15,other,55060,A,0,XXXX,37,E,H,M,3,L,D,D,T,2
ASK,other,66048,A,0,XXXX,24,E,H,F,3,L,F,B,C,1
TPS,MI,49091,A,0,XXXX,49,E,H,F,3,L,D,C,R,2
AGR,other,37356,A,0,XXXX,45,,U,F,1,L,F,B,R,2
FRC,CA,91406,A,0,XXXX,9,,U,F,0,L,G,A,U,3
OXM,other,29841,A,0,XXXX,30,E,H,F,3,L,G,B,C,3
MBC,other,35594,A,0,XXXX,45,,U,F,2,L,E,D,R,2
GRI,other,59801,A,0,XXXX,22,E,H,M,3,L,E,C,C,1
PRV,WA,98406,A,0,XXXX,20,I,U,F,0,L,F,A,S,2
LVT,WI,54547,A,0,XXXX,45,,U,M,0,L,E,D,R,2
HHH,other,35758,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
SGI,MI,48205,A,0,XXXX,2,E,H,F,2,L,F,A,U,1
HOS,other,85239,A,0,XXXX,51,E,H,F,3,L,G,C,R,3
PCL,IN,47006,A,0,XXXX,46,E,U,F,1,L,F,D,R,2
BHG,other,97701,A,0,XXXX,42,E,U,M,1,L,F,C,R,1
IMP,other,58565,A,0,XXXX,51,E,H,F,2,L,F,D,R,3
SEP,FL,33908-,A,0,XXXX,43,E,U,M,1,L,G,B,R,2
MBC,other,97113,B,0,XXXX,44,E,U,M,2,L,F,B,R,2
L04,other,37922,A,0,XXXX,45,E,H,F,3,L,F,B,R,2
STR,CA,94610,A,0,XXXX,1,E,U,F,2,L,F,A,U,1
AML,IN,46055,A,0,XXXX,40,E,H,F,3,L,F,B,T,2
DRK,IN,46368,A,0,XXXX,24,,U,F,0,L,F,A,C,1
AIR,CA,95608,A,0,XXXX,2,E,H,M,3,L,F,B,U,1
L02,FL,34112-,A,0,XXXX,26,,U,F,0,L,F,C,C,2
HAN,other,37620,A,0,XXXX,36,I,U,M,3,L,E,B,T,2
WKB,other,84123,A,0,XXXX,2,E,H,F,3,L,E,B,U,1
EAS,WA,98444,B,0,XXXX,20,E,U,F,3,L,F,A,S,2
ASE,other,38375,A,0,XXXX,46,E,H,M,3,L,F,D,R,2
MCO,other,56586,A,0,XXXX,45,,U,F,3,L,E,D,R,2
AGR,CA,93551,A,0,XXXX,27,E,H,M,3,L,F,A,C,2
IMP,other,29732-,A,0,XXXX,35,E,H,M,2,L,F,B,T,1
YKD,CA,93940,A,0,XXXX,24,E,H,M,3,L,F,B,C,1
SPT,FL,32431,A,0,XXXX,28,E,H,M,3,L,G,D,C,2
LIF,other,99504,A,0,XXXX,18,,U,F,0,L,F,C,S,2
HCC,other,80121,A,0,XXXX,13,I,U,M,2,L,F,B,S,1
SYN,CA,93445,A,0,XXXX,27,,U,F,0,L,E,C,C,2
SYN,CA,92708,A,0,XXXX,2,E,H,F,3,L,F,A,U,1
SIG,other,80741,A,0,XXXX,49,,U,F,2,L,E,D,R,2
ASE,MI,48446,A,0,XXXX,35,,U,F,0,L,G,A,T,1
NWN,other,35640,A,0,XXXX,36,E,H,F,2,L,D,C,T,2
NAS,GA,30309,A,0,XXXX,14,,H,F,3,L,F,A,S,1
GBK,WI,53033,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
MCC,MO,64506,A,0,XXXX,24,E,H,F,3,L,D,C,C,1
ANT,other,74820,A,0,XXXX,36,,U,F,0,L,E,D,T,2
DRK,WA,98026,A,0,XXXX,12,I,H,M,2,L,G,A,S,1
ADD,other,70002,A,0,XXXX,3,E,H,M,3,L,F,B,U,1
L04,other,66048,A,0,XXXX,26,E,U,F,3,L,F,B,C,2
ARG,IL,60510,A,0,XXXX,23,E,H,F,3,L,E,A,C,1
HHH,other,37862,A,0,XXXX,38,I,H,M,2,L,G,B,T,2
HAN,other,38801,A,0,XXXX,40,,U,F,0,L,F,C,T,2
SPN,TX,76305,A,0,XXXX,39,E,H,F,3,L,E,C,T,2
EAS,other,57701,A,0,XXXX,30,E,H,F,3,L,F,C,C,3
PSM,CA,90049-,A,0,XXXX,1,,U,F,0,L,G,A,U,1
SSS,other,35769,A,0,XXXX,43,,U,F,1,L,E,D,R,2
MBC,NC,27604,A,0,XXXX,34,E,H,M,3,L,F,B,T,1
HAN,MI,48315,A,0,XXXX,12,E,H,F,2,L,G,A,S,1
MBC,TX,75142,A,0,XXXX,45,,U,F,0,L,E,A,R,2
HAN,other,85023,A,0,XXXX,15,,U,M,0,L,F,A,S,1
CNT,MI,49079,A,0,XXXX,44,E,H,M,3,L,F,C,R,2
RPH,CA,92618,B,0,XXXX,35,,U,M,0,L,G,A,T,1
HOS,CA,95621,A,0,XXXX,9,I,U,F,0,L,F,B,U,3
ARG,WA,98040,A,0,XXXX,13,,U,M,0,L,F,A,S,1
IDE,TX,76043,A,0,XXXX,44,E,H,F,3,L,G,D,R,2
PSM,FL,33168,A,0,XXXX,23,,U,M,2,L,F,A,C,1
AGR,other,42240,A,0,XXXX,51,E,H,M,3,L,F,C,R,3
TPS,other,85308,A,0,XXXX,10,E,H,F,3,L,E,A,U,4
AMB,other,82003,A,0,XXXX,31,E,U,F,2,L,F,C,C,3
DNA,GA,31709,A,0,XXXX,38,,U,M,2,L,F,D,T,2
BOA,other,42220,A,0,XXXX,45,,U,M,0,L,F,D,R,2
DUR,IL,61367,A,0,XXXX,46,,U,F,0,L,G,D,R,2
AGR,other,55106,A,0,XXXX,5,,H,M,3,L,G,A,U,2
,other,97501-,A,0,XXXX,40,,U,F,0,L,F,C,R,2
MBC,other,73703,A,0,XXXX,36,E,H,M,3,L,D,C,T,2
SYN,other,84107,A,0,XXXX,3,I,H,F,1,L,F,B,U,1
ASK,CA,94550,A,0,XXXX,24,E,H,F,3,L,G,A,C,1
CNT,other,37082,A,0,XXXX,49,E,U,F,3,L,G,B,R,2
DEL,WA,98604,A,0,XXXX,18,E,H,F,2,L,F,B,S,2
DCD,TX,77340,A,0,XXXX,24,E,H,F,2,L,G,D,C,1
MCC,TX,78607,A,0,XXXX,48,E,H,F,2,L,F,D,R,2
DRK,other,55947,A,0,D1CM,40,E,H,M,3,L,G,D,T,2
WIS,NC,27948,A,0,XXXX,40,,U,M,3,L,E,D,T,2
SYN,CA,95682,A,0,XXXX,35,E,H,F,2,L,E,B,T,1
L16,other,87501,A,0,XXXX,34,,H,F,2,L,F,C,T,1
CWR,other,29718,A,0,XXXX,50,,U,M,0,L,F,D,R,3
